           RELATIVISTIC
 ELASTIC SCATTERING CROSS SECTION
   d sigma/d omega versus theta

Atomic number       : 79
Energy              : 50 eV to 2650 eV, in 1 eV to 400 and 10 eV from there
Total cross section : in units of ao**2
    (ao**2 = 2.8002852E-21 m**2)
First row is Angle from 0 to 180 deg
First col is Energy in eV
Secnd col is Total cross section in unts of a0^2
The rest is cross section for each angle (d sigma/d omega) in units of ao**2/sterad

________________________________________
14,23.439983,5.30428,5.044605,5.035716,5.000403,4.819676,4.775971,4.580163,4.39877,4.304755,4.003874,3.795711,3.660512,3.297783,3.027617,2.880135,2.523511,2.418183,2.067594,1.888747,1.641255,1.475825,1.334897,1.145192,1.144514,0.913475,0.936875,0.858618,0.77758,0.875419,0.79486,0.821394,0.878305,0.939868,1.007397,1.084888,1.197934,1.296988,1.415519,1.529455,1.644855,1.753846,1.861865,1.968243,2.071299,2.172713,2.246274,2.315203,2.372295,2.419024,2.459121,2.469236,2.478117,2.47582,2.45291,2.411522,2.372586,2.305275,2.21905,2.142762,2.037335,1.933967,1.811556,1.681268,1.543785,1.403372,1.266242,1.113064,0.96643,0.816304,0.667554,0.520017,0.374759,0.234261,0.099982,0.027373,0.146347,0.255791,0.356134,0.446263,0.520714,0.585134,0.635785,0.671999,0.695186,0.70167,0.694066,0.671941,0.632742,0.579644,0.51249,0.429237,0.341721,0.230155,0.100129,0.026745,0.174873,0.323907,0.48779,0.67059,0.840361,1.018899,1.206546,1.397277,1.582728,1.769548,1.957543,2.143096,2.320929,2.491946,2.663658,2.829388,2.969479,3.097562,3.221671,3.319756,3.408623,3.478578,3.529113,3.571546,3.586469,3.579309,3.552835,3.498718,3.432126,3.343544,3.216453,3.075289,2.913388,2.723498,2.512147,2.279321,2.022164,1.743424,1.4432,1.122869,0.782255,0.420776,0.04218,0.353197,0.766045,1.192902,1.635371,2.089935,2.556985,3.032873,3.517383,4.010593,4.508221,5.010933,5.516523,6.023562,6.53059,7.037922,7.541495,8.04058,8.528896,9.024517,9.500297,9.976714,10.416639,10.864984,11.300922,11.734397,12.113718,12.50728,12.870499,13.214427,13.551295,13.851386,14.136941,14.409892,14.643356,14.854391,15.049902,15.215798,15.356761,15.47079,15.561852,15.623713,15.671602,15.683165
15,21.777576,5.065462,4.830374,4.822142,4.789179,4.624864,4.583756,4.404603,4.238519,4.150501,3.874778,3.682129,3.554604,3.220513,2.969294,2.827718,2.496122,2.390614,2.062101,1.887224,1.649312,1.484441,1.340333,1.150953,1.130998,0.902095,0.902063,0.808966,0.712605,0.777382,0.680389,0.679829,0.706559,0.737479,0.774007,0.819922,0.898588,0.96535,1.050691,1.132995,1.217937,1.298513,1.379798,1.461313,1.541615,1.622317,1.679781,1.735058,1.781624,1.820842,1.856082,1.866132,1.87698,1.879557,1.86526,1.835873,1.810215,1.760308,1.694584,1.638927,1.557894,1.479517,1.3846,1.283013,1.175272,1.06504,0.957802,0.83591,0.719681,0.599875,0.480784,0.36214,0.244795,0.130904,0.021704,0.082244,0.179677,0.269601,0.35244,0.427205,0.488962,0.542817,0.585365,0.615983,0.635901,0.641751,0.635833,0.617694,0.584949,0.540388,0.48378,0.413192,0.339225,0.243905,0.132159,0.023454,0.104366,0.233018,0.375197,0.534699,0.682663,0.838935,1.003842,1.172051,1.336023,1.501836,1.669382,1.835359,1.995078,2.149322,2.304885,2.455774,2.584147,2.702309,2.817504,2.909703,2.994124,3.061877,3.112432,3.155974,3.174843,3.173847,3.155403,3.111887,3.056925,2.98175,2.871371,2.747729,2.604721,2.435668,2.24637,2.036711,1.804016,1.550669,1.276679,0.983207,0.670025,0.336541,0.013907,0.381066,0.765588,1.164371,1.578875,2.005924,2.445857,2.895356,3.354194,3.822393,4.296028,4.775629,5.259124,5.745136,6.232236,6.720602,7.206448,7.688981,8.162386,8.642885,9.105746,9.569383,10.000014,10.43814,10.864755,11.288665,11.662994,12.049445,12.407472,12.747002,13.078902,13.376145,13.65874,13.92828,14.160351,14.370217,14.564092,14.729096,14.86939,14.983105,15.073756,15.135651,15.182561,15.19421
16,20.122429,4.737875,4.52576,4.518659,4.488788,4.340899,4.303769,4.14193,3.992159,3.912114,3.662354,3.486938,3.369561,3.065181,2.834796,2.702076,2.397086,2.294853,1.990239,1.822489,1.596835,1.435789,1.291973,1.106033,1.071278,0.847265,0.82833,0.724186,0.616201,0.652792,0.542893,0.519436,0.520292,0.524799,0.534476,0.552902,0.601384,0.639804,0.69588,0.750279,0.80832,0.863814,0.921501,0.981082,1.041337,1.103822,1.147284,1.190765,1.228377,1.261382,1.292815,1.303451,1.316722,1.324369,1.318561,1.300761,1.287837,1.254446,1.20807,1.171849,1.113706,1.058739,0.98952,0.914723,0.834706,0.752581,0.673157,0.580347,0.49236,0.400696,0.309113,0.217247,0.125754,0.036486,0.049525,0.131849,0.209406,0.281341,0.348075,0.408734,0.458874,0.503098,0.538311,0.563931,0.58102,0.586496,0.582365,0.568156,0.54164,0.505248,0.458681,0.400106,0.338981,0.259007,0.164501,0.072937,0.035757,0.14521,0.266963,0.404561,0.532006,0.667334,0.810865,0.957904,1.101682,1.247746,1.39607,1.543652,1.686341,1.824816,1.965208,2.102155,2.219505,2.328332,2.435152,2.52181,2.60205,2.667734,2.718311,2.762918,2.785512,2.790336,2.779476,2.745964,2.701996,2.639502,2.544903,2.437835,2.312706,2.163375,1.994966,1.807267,1.597769,1.36852,1.119442,0.851499,0.564411,0.257575,0.066051,0.406293,0.76377,1.135714,1.523456,1.924136,2.33805,2.762186,3.19631,3.640394,4.090845,4.54807,5.010128,5.475687,5.943352,6.413176,6.881633,7.347875,7.806516,8.272071,8.722044,9.172937,9.594078,10.021878,10.43902,10.853264,11.222193,11.601311,11.95382,12.2886,12.615262,12.909272,13.18857,13.454438,13.68475,13.893114,14.085098,14.248949,14.388347,14.501539,14.591631,14.65343,14.699355,14.711059
17,18.475342,4.326865,4.136187,4.130667,4.10459,3.97314,3.941293,3.79739,3.664882,3.594682,3.371639,3.21508,3.110189,2.836525,2.628751,2.507666,2.230766,2.135071,1.856063,1.698418,1.487543,1.333405,1.193156,1.013596,0.96827,0.751747,0.718191,0.606586,0.490478,0.503501,0.384038,0.34166,0.320725,0.302832,0.289592,0.284409,0.306687,0.320512,0.351048,0.381079,0.415596,0.449171,0.486236,0.526658,0.569435,0.616066,0.647509,0.680949,0.711094,0.739107,0.767719,0.779548,0.795659,0.808547,0.811095,0.804473,0.803747,0.786011,0.757868,0.739928,0.703224,0.670147,0.624899,0.575055,0.520827,0.464817,0.411213,0.345372,0.283552,0.217943,0.151808,0.084695,0.017081,0.049464,0.114094,0.1765,0.235771,0.29118,0.343145,0.390896,0.430446,0.465927,0.494535,0.515721,0.530395,0.535737,0.533483,0.523142,0.502629,0.474046,0.437026,0.38983,0.340858,0.275359,0.197085,0.121668,0.030958,0.060441,0.163004,0.280043,0.388213,0.503875,0.627346,0.75452,0.879344,1.006875,1.137161,1.267483,1.394189,1.517864,1.644029,1.767902,1.874899,1.974959,2.07392,2.155372,2.231688,2.29543,2.346032,2.391659,2.417766,2.428077,2.42437,2.400285,2.366694,2.316179,2.236461,2.145047,2.03682,1.906133,1.757484,1.590575,1.403048,1.196642,0.971197,0.727491,0.465197,0.183703,0.114391,0.42898,0.760658,1.106966,1.469118,1.844549,2.233515,2.633293,3.043641,3.464489,3.892553,4.328131,4.769401,5.215077,5.663802,6.115512,6.566926,7.017144,7.461185,7.911983,8.349118,8.787322,9.198803,9.616193,10.023738,10.428234,10.791388,11.162973,11.509667,11.839376,12.160552,12.450974,12.726662,12.988618,13.216829,13.423382,13.613237,13.775692,13.913978,14.026457,14.11585,14.177432,14.222366,14.234095
18,16.845594,3.837638,3.66694,3.663428,3.641809,3.526808,3.50148,3.376097,3.261749,3.203162,3.007543,2.87137,2.781168,2.539159,2.355667,2.248837,2.001414,1.91533,1.663531,1.518789,1.325061,1.180733,1.047136,0.876722,0.824816,0.61823,0.5741,0.458417,0.337491,0.331314,0.205443,0.147906,0.109045,0.07255,0.04012,0.015002,0.014846,0.007628,0.016155,0.025169,0.039363,0.054015,0.073274,0.097169,0.124895,0.157909,0.179206,0.204264,0.228339,0.25251,0.279225,0.292809,0.312143,0.330419,0.34118,0.345332,0.356277,0.353362,0.342375,0.341601,0.32494,0.312288,0.289352,0.262699,0.232401,0.200598,0.1709,0.130004,0.092365,0.050812,0.008153,0.036145,0.081768,0.127404,0.17238,0.216498,0.259001,0.299281,0.337751,0.373737,0.403671,0.431254,0.453948,0.471234,0.483882,0.489312,0.489011,0.482469,0.467736,0.446605,0.41865,0.382218,0.344729,0.292861,0.229845,0.169612,0.095782,0.02133,0.063235,0.161012,0.25111,0.348338,0.453018,0.561586,0.668652,0.778822,0.892213,1.006372,1.118104,1.227914,1.340759,1.452394,1.549685,1.641524,1.733128,1.809695,1.882334,1.944258,1.994887,2.041489,2.070906,2.08638,2.08941,2.074197,2.050388,2.011171,1.945466,1.868819,1.776545,1.663459,1.533479,1.386228,1.219486,1.034707,0.831653,0.610933,0.372174,0.114753,0.159059,0.449226,0.756317,1.07816,1.415864,1.767138,2.132205,2.508605,2.896096,3.294572,3.701034,4.115683,4.536808,4.963171,5.393449,5.827477,6.262196,6.69667,7.126288,7.56253,7.986894,8.412478,8.814158,9.221073,9.618918,10.013604,10.370643,10.734521,11.07513,11.399472,11.714938,12.00144,12.273232,12.531057,12.756853,12.961304,13.148812,13.309643,13.446618,13.558204,13.64677,13.708019,13.751961,13.763685
19,15.66925,3.275265,3.123167,3.122068,3.105531,3.006988,2.989347,2.883031,2.787687,2.74238,2.574847,2.460497,2.38706,2.17758,2.019936,1.929824,1.713171,1.639591,1.416493,1.287283,1.112924,0.98113,0.857084,0.698414,0.643687,0.449335,0.398445,0.281872,0.159242,0.137989,0.008688,0.060457,0.113592,0.165099,0.213197,0.254776,0.273798,0.2987,0.308843,0.317675,0.320778,0.322215,0.318097,0.308246,0.293273,0.271767,0.258848,0.240612,0.221291,0.199885,0.174204,0.158345,0.13544,0.111652,0.092828,0.078303,0.056203,0.045109,0.039978,0.024664,0.022624,0.016259,0.018476,0.023629,0.031777,0.041203,0.048826,0.066716,0.082075,0.101483,0.122551,0.145885,0.17132,0.197781,0.224753,0.252138,0.279321,0.305802,0.331989,0.357297,0.378542,0.399028,0.416462,0.430352,0.441337,0.447059,0.448775,0.44596,0.436782,0.422754,0.403394,0.377125,0.350468,0.311414,0.262716,0.216733,0.158719,0.100146,0.032426,0.047339,0.120524,0.200507,0.287621,0.378795,0.469256,0.563196,0.660791,0.759844,0.857575,0.954419,1.05482,1.155021,1.243229,1.327375,1.412102,1.484097,1.553297,1.613522,1.66418,1.711712,1.744242,1.764569,1.773934,1.767054,1.752452,1.723876,1.671347,1.608607,1.531372,1.434878,1.322513,1.193824,1.04672,0.882389,0.700525,0.501579,0.285133,0.050554,0.200191,0.467129,0.750811,1.049329,1.363698,1.69188,2.034068,2.388052,2.753587,3.130537,3.516169,3.910596,4.312214,4.71983,5.132154,5.548933,5.967316,6.386331,6.801718,7.223613,7.63529,8.048342,8.440104,8.836501,9.224566,9.609396,9.960011,10.31603,10.65031,10.969019,11.278572,11.560853,11.828486,12.081978,12.305067,12.507149,12.692106,12.851104,12.986584,13.097108,13.184726,13.245538,13.288484,13.300179
20,14.977553,2.644681,2.509876,2.511573,2.500707,2.418629,2.409772,2.323038,2.247494,2.217036,2.078203,1.987025,1.932302,1.756164,1.625833,1.554748,1.370071,1.311708,1.118701,1.007484,0.854569,0.737863,0.626088,0.481596,0.427579,0.247614,0.193551,0.079085,0.042322,0.074767,0.204693,0.282097,0.346064,0.409197,0.46964,0.524401,0.558921,0.598336,0.623995,0.64768,0.665221,0.680073,0.68858,0.690427,0.686045,0.674057,0.667852,0.654972,0.63917,0.619521,0.59407,0.575459,0.548668,0.519266,0.49254,0.468038,0.435289,0.410972,0.390726,0.360362,0.340913,0.316882,0.299907,0.285182,0.272885,0.261685,0.248987,0.245722,0.240619,0.239708,0.240988,0.245125,0.252093,0.261032,0.271572,0.283706,0.296947,0.310895,0.325953,0.341616,0.355051,0.369199,0.38199,0.392956,0.402618,0.408818,0.412606,0.413437,0.409592,0.402324,0.391099,0.374411,0.357954,0.330922,0.295634,0.263001,0.219774,0.176049,0.124064,0.061107,0.003717,0.060168,0.130893,0.205842,0.28081,0.359607,0.442468,0.52743,0.612097,0.696843,0.785641,0.875181,0.954908,1.031868,1.110181,1.177903,1.243893,1.302534,1.353224,1.401643,1.437096,1.461974,1.477287,1.478222,1.472271,1.453701,1.41354,1.36388,1.300799,1.219923,1.124153,1.012967,0.88439,0.73937,0.577534,0.399185,0.203869,0.009061,0.237917,0.482786,0.744202,1.020505,1.312621,1.618749,1.939056,2.271562,2.616023,2.972277,3.337839,3.712742,4.095484,4.484914,4.87978,5.279743,5.682153,6.086005,6.487362,6.895131,7.294222,7.694842,8.076594,8.462452,8.840676,9.215626,9.55954,9.907568,10.2353,10.548135,10.851597,11.129379,11.392612,11.64159,11.861703,12.061168,12.243389,12.400358,12.534173,12.643482,12.730041,12.790316,12.832265,12.843908
21,14.296852,1.950683,1.831936,1.836791,1.83215,1.766541,1.767504,1.700832,1.645833,1.631699,1.522139,1.455394,1.421213,1.279167,1.177516,1.127621,0.976034,0.935429,0.773804,0.682878,0.553343,0.454112,0.357148,0.22911,0.179113,0.015548,0.03832,0.147872,0.265306,0.305291,0.43321,0.515724,0.587283,0.658854,0.728511,0.793365,0.84021,0.891149,0.929353,0.965068,0.994354,1.0201,1.038865,1.050202,1.054374,1.050034,1.048982,1.040081,1.026645,1.007813,0.981846,0.960045,0.929085,0.893989,0.859527,0.82544,0.782542,0.745763,0.711368,0.666955,0.631337,0.590938,0.556236,0.523184,0.492073,0.461922,0.430579,0.407929,0.384098,0.364612,0.34782,0.334447,0.324588,0.31758,0.313186,0.311479,0.31209,0.31471,0.319733,0.326729,0.333189,0.341715,0.350445,0.358931,0.367585,0.374435,0.380336,0.384729,0.385995,0.385149,0.381612,0.373939,0.367068,0.351294,0.328537,0.308383,0.278953,0.249081,0.211762,0.164453,0.121781,0.072889,0.017419,0.042429,0.102973,0.167675,0.23682,0.30867,0.381174,0.454657,0.53266,0.612282,0.684106,0.75437,0.826713,0.890451,0.953453,1.010619,1.061343,1.110607,1.148798,1.17794,1.198825,1.207078,1.20924,1.200063,1.171494,1.134112,1.084331,1.018134,0.937975,0.843267,0.732146,0.605335,0.4624,0.303513,0.12818,0.064256,0.272366,0.496292,0.736554,0.991719,1.262636,1.54772,1.847118,2.159064,2.483314,2.819686,3.165925,3.521992,3.886482,4.258285,4.636184,5.01977,5.406572,5.795564,6.183107,6.576981,6.9636,7.351904,7.723579,8.098893,8.467238,8.832297,9.169264,9.509192,9.830183,10.136927,10.434138,10.707172,10.965788,11.210088,11.426977,11.623598,11.802913,11.957677,12.089669,12.197619,12.283016,12.342664,12.383616,12.395184
22,13.650944,1.197933,1.094079,1.102432,1.104536,1.055398,1.067154,1.02099,0.987236,0.990809,0.911052,0.869918,0.857987,0.750727,0.679026,0.652339,0.534875,0.5144,0.385348,0.316854,0.212497,0.132966,0.053185,0.056279,0.099162,0.244452,0.294972,0.39698,0.507872,0.55197,0.675414,0.760084,0.836192,0.913207,0.989136,1.06118,1.117365,1.177019,1.224971,1.270063,1.30856,1.342832,1.369628,1.388381,1.399195,1.400748,1.403387,1.397178,1.38503,1.366142,1.338968,1.313579,1.2782,1.23735,1.195329,1.152045,1.099484,1.050979,1.003367,0.94587,0.895273,0.839753,0.788723,0.738828,0.690464,0.642961,0.594573,0.554227,0.513323,0.476924,0.443697,0.414419,0.389294,0.367839,0.349934,0.335727,0.324954,0.317387,0.313413,0.312671,0.312942,0.316525,0.32174,0.328162,0.336102,0.343755,0.351801,0.359665,0.365822,0.371068,0.374781,0.375574,0.377693,0.372439,0.361367,0.352852,0.336264,0.319285,0.295601,0.262828,0.233834,0.198874,0.157567,0.11174,0.064592,0.012978,0.043433,0.10311,0.164318,0.22734,0.295324,0.365742,0.430219,0.494258,0.561058,0.621091,0.681315,0.737113,0.787874,0.837939,0.878691,0.911818,0.937916,0.953005,0.962764,0.962387,0.944661,0.918786,0.881482,0.829057,0.763558,0.68434,0.589638,0.479972,0.354852,0.214327,0.057867,0.115194,0.303665,0.507739,0.727926,0.963001,1.213743,1.478768,1.758206,2.050486,2.35537,2.672659,3.000307,3.338217,3.685072,4.039801,4.401226,4.768872,5.140439,5.51488,5.888834,6.269052,6.64333,7.019448,7.381002,7.745786,8.104233,8.45941,8.78921,9.12095,9.435031,9.735493,10.026315,10.294373,10.548175,10.787651,11.001092,11.194662,11.370916,11.523312,11.653337,11.759797,11.843939,11.902874,11.942832,11.954303
23,13.100139,0.390954,0.300897,0.31307,0.322404,0.28974,0.313198,0.287959,0.276103,0.298676,0.249211,0.234785,0.246699,0.174861,0.134289,0.132686,0.050294,0.052159,0.043222,0.087298,0.16481,0.222573,0.282966,0.371889,0.404769,0.530043,0.574271,0.666285,0.768233,0.813239,0.929901,1.01396,1.091767,1.171421,1.250864,1.327375,1.390101,1.455831,1.51091,1.562889,1.608221,1.648795,1.681535,1.70576,1.721424,1.727229,1.732191,1.727475,1.715613,1.695859,1.666843,1.637506,1.597488,1.550845,1.501446,1.449348,1.387603,1.328087,1.268154,1.198502,1.134066,1.064617,0.9986,0.933281,0.869152,0.805824,0.741918,0.685483,0.629084,0.577353,0.529249,0.485593,0.446687,0.412209,0.382146,0.356711,0.335735,0.319064,0.307077,0.299472,0.2943,0.293575,0.295791,0.300537,0.308032,0.316627,0.326839,0.338079,0.348907,0.359921,0.37046,0.379186,0.389716,0.394269,0.394067,0.396379,0.391714,0.386705,0.375665,0.356357,0.340044,0.317993,0.289802,0.256957,0.222214,0.182721,0.138102,0.089696,0.038952,0.01438,0.07309,0.134987,0.192653,0.250919,0.312585,0.36918,0.426831,0.481363,0.532162,0.582987,0.62613,0.662973,0.693935,0.7154,0.732256,0.740109,0.732505,0.717395,0.691772,0.652245,0.600489,0.535809,0.456525,0.362977,0.254621,0.131394,0.007266,0.162035,0.33194,0.51722,0.718379,0.934381,1.165944,1.411868,1.67227,1.945758,2.232102,2.531088,2.840867,3.161288,3.491116,3.829322,4.174762,4.526908,4.883613,5.243821,5.604421,5.971232,6.333313,6.697388,7.048799,7.403087,7.751633,8.096951,8.419397,8.742879,9.049905,9.343916,9.628229,9.891109,10.139921,10.374446,10.584235,10.774566,10.947619,11.097497,11.225424,11.330276,11.413075,11.471221,11.510187,11.521542
24,13.223554,0.465865,0.543156,0.526862,0.509842,0.526035,0.490021,0.493949,0.483298,0.440518,0.45924,0.44594,0.408699,0.444534,0.452888,0.427663,0.474115,0.44786,0.508565,0.526384,0.575513,0.609593,0.648556,0.715113,0.735307,0.838954,0.874147,0.953887,1.044659,1.087578,1.19531,1.276176,1.353019,1.432688,1.513067,1.591497,1.658144,1.727483,1.787231,1.843766,1.893708,1.938505,1.975237,2.003116,2.021958,2.030481,2.036495,2.032155,2.019651,1.998284,1.966842,1.933235,1.888387,1.835932,1.779345,1.718811,1.64835,1.578513,1.507122,1.426209,1.349028,1.266792,1.187068,1.107679,1.029204,0.951505,0.873535,0.802543,0.732148,0.66659,0.605091,0.548507,0.497229,0.451079,0.410142,0.374684,0.344624,0.319873,0.300803,0.287163,0.277247,0.272814,0.272511,0.275942,0.283243,0.292902,0.305291,0.319809,0.335091,0.351554,0.368503,0.384646,0.403028,0.416698,0.426581,0.438938,0.445311,0.451382,0.452035,0.445164,0.440572,0.430448,0.414367,0.393507,0.370222,0.34192,0.30819,0.270188,0.229108,0.184728,0.134578,0.080546,0.029178,0.02375,0.080674,0.134089,0.189362,0.242725,0.293564,0.345108,0.390477,0.430779,0.46627,0.493666,0.51714,0.532671,0.534498,0.529437,0.514729,0.487259,0.448363,0.397299,0.332471,0.254048,0.161441,0.054485,0.067412,0.204937,0.357314,0.524826,0.707971,0.905887,1.119238,1.346993,1.589259,1.844808,2.113419,2.394868,2.687485,2.991074,3.304477,3.626705,3.956649,4.293734,4.635956,4.982252,5.329745,5.683406,6.033447,6.385634,6.726902,7.070742,7.409405,7.744904,8.059833,8.375007,8.674852,8.962269,9.239973,9.497495,9.741164,9.970624,10.176577,10.363498,10.533226,10.680452,10.806163,10.909296,10.990678,11.047963,11.08594,11.09716
25,13.72029,1.368272,1.433766,1.413067,1.387938,1.38766,1.338296,1.320557,1.286833,1.222722,1.210289,1.16832,1.104377,1.10368,1.078815,1.025151,1.034871,0.982327,1.007441,0.997308,1.016641,1.025272,1.040918,1.083429,1.088448,1.168982,1.192593,1.257947,1.33547,1.373519,1.470323,1.545592,1.61899,1.696228,1.775139,1.853112,1.921234,1.991877,2.054002,2.112917,2.165393,2.212472,2.251373,2.281213,2.301674,2.311491,2.317373,2.312376,2.298372,2.274706,2.240306,2.202143,2.152303,2.094034,2.030453,1.961858,1.883142,1.803651,1.721631,1.630315,1.541435,1.447505,1.355296,1.263128,1.171659,1.080973,0.990324,0.90623,0.823265,0.745308,0.671818,0.603682,0.541368,0.484828,0.434229,0.389891,0.351804,0.319941,0.294663,0.275769,0.261769,0.254188,0.251816,0.254267,0.261602,0.272434,0.287002,0.304693,0.324213,0.345815,0.36877,0.391829,0.417521,0.439643,0.458856,0.480504,0.497066,0.513362,0.524792,0.529373,0.53558,0.536441,0.531505,0.521675,0.508935,0.490933,0.467226,0.438798,0.406616,0.370478,0.328205,0.281411,0.235847,0.187841,0.135283,0.084803,0.031721,0.020567,0.071448,0.12367,0.171107,0.214619,0.254319,0.28722,0.316848,0.339528,0.350121,0.354419,0.34989,0.333666,0.306779,0.268446,0.217142,0.152888,0.075052,0.016625,0.122762,0.244055,0.379907,0.530645,0.696758,0.877547,1.073626,1.284118,1.509123,1.747565,1.999232,2.263893,2.540042,2.827445,3.125018,3.431807,3.746741,4.069203,4.397325,4.730036,5.064677,5.405453,5.743625,6.084091,6.415234,6.748693,7.077507,7.403241,7.710516,8.01735,8.309916,8.590614,8.861627,9.113632,9.352023,9.576324,9.778275,9.961635,10.127928,10.272382,10.395768,10.497085,10.576977,10.633338,10.670332,10.681401
26,14.302732,2.312154,2.366754,2.341386,2.307755,2.291009,2.227555,2.18782,2.130497,2.044012,2.000049,1.928541,1.836625,1.79892,1.739918,1.656328,1.6286,1.548018,1.536711,1.497072,1.485315,1.466873,1.457468,1.474389,1.461936,1.517994,1.527669,1.576684,1.639044,1.669639,1.753667,1.821107,1.888755,1.961291,2.036497,2.111802,2.179122,2.248925,2.311292,2.370562,2.423639,2.471194,2.510572,2.540797,2.561431,2.571218,2.575875,2.569267,2.552975,2.526383,2.488543,2.445571,2.390604,2.326539,2.256167,2.179879,2.093357,2.004858,1.913006,1.812112,1.712533,1.607954,1.504423,1.400705,1.297529,1.195173,1.09316,0.997344,0.903161,0.81416,0.730011,0.651627,0.579541,0.513821,0.454709,0.402567,0.357453,0.31939,0.28873,0.265313,0.247847,0.237645,0.233622,0.235403,0.24298,0.255078,0.271819,0.292577,0.31612,0.342554,0.371123,0.400615,0.43309,0.463025,0.49084,0.521054,0.546989,0.572688,0.594018,0.609107,0.625227,0.636169,0.641453,0.641737,0.638671,0.630115,0.615599,0.595952,0.571934,0.543358,0.508308,0.468152,0.427922,0.384438,0.335887,0.288103,0.237033,0.185731,0.134807,0.081948,0.032594,0.01389,0.057488,0.095485,0.130823,0.160142,0.178863,0.191857,0.196797,0.19104,0.175343,0.148887,0.110213,0.059207,0.004803,0.082158,0.173502,0.279541,0.399841,0.534763,0.684798,0.849388,1.029106,1.223216,1.431813,1.653958,1.889451,2.138056,2.398418,2.670271,2.952598,3.244484,3.544891,3.85317,4.167574,4.487034,4.809087,5.137249,5.463734,5.792657,6.113715,6.436873,6.755889,7.071926,7.371439,7.669918,7.955121,8.229,8.493258,8.739611,8.972608,9.191667,9.389473,9.569135,9.731894,9.873469,9.994438,10.093849,10.172191,10.227569,10.263584,10.274488
